Unnamed: 0,name,aoi,latitude,longitude,pass,scene,tile,insitu_data_path,wlvar,datevar
58,Kango,komo,0.168051962,10.07457797,"['320', '473', '016']","['154R', '155R', '154L']","['077F', '078F', '077F']",,WL_EGM08,Time
59,Ompomouena,komo,-0.83133,10.14837,"['473', '016']","['153R', '156L']","['077F', '078F']",,WL_EGM08,Time
60,Ngomo,komo,-0.828516008,9.983669026,"['042', '473', '016']","['156L', '153R', '156L']","['078F', '077F', '078F']",,WL_EGM08,Time
61,N'tyatanga barometer,komo,-0.825532973,10.120559,"['042', '473', '016']","['156L', '153R', '156L']","['078F', '077F', '078F']",,WL_EGM08,Time
62,Irongombene,komo,0.133359013,9.765770976,"['042', '473', '016']","['154L', '155L', '154L']","['077F', '078F', '077F']",,WL_EGM08,Time
63,Irongombene barometer,komo,0.132966,9.765733,"['042', '473', '016']","['154L', '155L', '154L']","['077F', '078F', '077F']",,WL_EGM08,Time
64,Abongo,komo,-0.66717,10.24303,"['320', '473', '016']","['156R', '153R', '156L']","['078F', '077F', '078F']",,WL_EGM08,Time
65,Ngoumbi,komo,-0.93759,9.6124,"['042', '473', '016']","['156L', '153L', '156R']","['078F', '077F', '078F']",,WL_EGM08,Time
66,Egnonga,komo,-1.04233,9.33766,"['042', '473', '016']","['156R', '153L', '156R']","['078F', '077F', '078F']",,WL_EGM08,Time
67,CAPAL,komo,0.3668,9.46092,"['042', '016']","['154L', '154R']","['077F', '077F']",,WL_EGM08,Time
68,Mandje barometer,komo,-0.990871,9.506377,"['042', '473', '016']","['156R', '153L', '156R']","['078F', '077F', '078F']",,WL_EGM08,Time
69,CRMS0002-H01,louisiana,30.10031149,-89.79156699,"['203', '522']","['207L', '102R']","['104F', '051F']",CRMS0002-H01,'Adjusted Water Elevation to Datum (m),Date and Time UTC
70,CRMS0003-H01,louisiana,30.09987807,-89.2520134,"['203', '522']","['207R', '102L']","['104F', '051F']",CRMS0003-H01,'Adjusted Water Elevation to Datum (m),Date and Time UTC
71,CRMS0006-H01,louisiana,30.26360139,-89.98232733,"['203', '244', '522']","['207L', '102L', '101R']","['104F', '051F', '051F']",CRMS0006-H01,'Adjusted Water Elevation to Datum (m),Date and Time UTC
72,CRMS0008-H01,louisiana,30.24245515,-90.68971395,"['244', '509']","['101R', '208R']","['051F', '104F']",CRMS0008-H01,'Adjusted Water Elevation to Datum (m),Date and Time UTC
73,CRMS0008-H02,louisiana,30.2284139,-90.68523893,"['244', '509']","['102R', '208R']","['051F', '104F']",CRMS0008-H02,'Adjusted Water Elevation to Datum (m),Date and Time UTC
74,CRMS0008-W01,louisiana,30.2284139,-90.68523893,"['244', '509']","['102R', '208R']","['051F', '104F']",CRMS0008-W01,'Adjusted Water Elevation to Datum (m),Date and Time UTC
75,CRMS0030-H01,louisiana,30.30395152,-90.32513692,"['244', '509']","['101L', '208R']","['051F', '104F']",CRMS0030-H01,'Adjusted Water Elevation to Datum (m),Date and Time UTC
76,CRMS0033-H01,louisiana,30.27716802,-90.3870363,"['244', '509']","['102L', '208R']","['051F', '104F']",CRMS0033-H01,'Adjusted Water Elevation to Datum (m),Date and Time UTC
77,CRMS0034-H01,louisiana,30.30562451,-90.38865508,"['244', '509']","['101L', '208R']","['051F', '104F']",CRMS0034-H01,'Adjusted Water Elevation to Datum (m),Date and Time UTC
78,CRMS0035-H01,louisiana,30.26729475,-89.66461512,"['203', '522']","['208L', '101R']","['104F', '051F']",CRMS0035-H01,'Adjusted Water Elevation to Datum (m),Date and Time UTC
79,CRMS0038-H01,louisiana,30.21344822,-90.67751391,"['244', '509']","['102R', '207R']","['051F', '104F']",CRMS0038-H01,'Adjusted Water Elevation to Datum (m),Date and Time UTC
80,CRMS0039-H01,louisiana,30.10734443,-90.68523889,"['244', '509']","['102R', '207R']","['051F', '104F']",CRMS0039-H01,'Adjusted Water Elevation to Datum (m),Date and Time UTC
81,CRMS0046-H01,louisiana,30.40558861,-90.49727495,"['244', '509']","['101L', '208R']","['051F', '104F']",CRMS0046-H01,'Adjusted Water Elevation to Datum (m),Date and Time UTC
82,CRMS0047-H01,louisiana,30.13386842,-90.53438393,"['244', '509']","['102L', '207R']","['051F', '104F']",CRMS0047-H01,'Adjusted Water Elevation to Datum (m),Date and Time UTC
83,CRMS0056-H01,louisiana,30.1255299,-90.44598465,"['244', '509']","['102L', '207R']","['051F', '104F']",CRMS0056-H01,'Adjusted Water Elevation to Datum (m),Date and Time UTC
84,CRMS0058-H01,louisiana,30.16553268,-90.5378363,"['244', '509']","['102L', '207R']","['051F', '104F']",CRMS0058-H01,'Adjusted Water Elevation to Datum (m),Date and Time UTC
85,CRMS0058-H02,louisiana,30.1655234,-90.53782902,"['244', '509']","['102L', '207R']","['051F', '104F']",CRMS0058-H02,'Adjusted Water Elevation to Datum (m),Date and Time UTC
86,CRMS0058-M01,louisiana,30.16650815,-90.53743082,"['244', '509']","['102L', '207R']","['051F', '104F']",CRMS0058-M01,'Adjusted Water Elevation to Datum (m),Date and Time UTC
87,CRMS0058-W01,louisiana,30.16561051,-90.53742041,"['244', '509']","['102L', '207R']","['051F', '104F']",CRMS0058-W01,'Adjusted Water Elevation to Datum (m),Date and Time UTC
88,CRMS0059-H01,louisiana,30.09624183,-90.5461879,"['244', '509']","['102L', '207R']","['051F', '104F']",CRMS0059-H01,'Adjusted Water Elevation to Datum (m),Date and Time UTC
89,CRMS0059-H02,louisiana,30.09311941,-90.54301667,"['244', '509']","['102L', '207R']","['051F', '104F']",CRMS0059-H02,'Adjusted Water Elevation to Datum (m),Date and Time UTC
90,CRMS0059-W01,louisiana,30.09313466,-90.54306972,"['244', '509']","['102L', '207R']","['051F', '104F']",CRMS0059-W01,'Adjusted Water Elevation to Datum (m),Date and Time UTC
91,CRMS0061-H01,louisiana,30.22037695,-90.63932001,"['244', '509']","['102R', '208R']","['051F', '104F']",CRMS0061-H01,'Adjusted Water Elevation to Datum (m),Date and Time UTC
92,CRMS0063-H01,louisiana,30.12805249,-90.64078227,"['244', '509']","['102R', '207R']","['051F', '104F']",CRMS0063-H01,'Adjusted Water Elevation to Datum (m),Date and Time UTC
93,CRMS0065-H01,louisiana,30.12277874,-90.80990882,"['244', '509']","['102R', '207R']","['051F', '104F']",CRMS0065-H01,'Adjusted Water Elevation to Datum (m),Date and Time UTC
94,CRMS0065-H02,louisiana,30.12332726,-90.81020191,"['244', '509']","['102R', '207R']","['051F', '104F']",CRMS0065-H02,'Adjusted Water Elevation to Datum (m),Date and Time UTC
95,CRMS0065-W01,louisiana,30.12334512,-90.81019114,"['244', '509']","['102R', '207R']","['051F', '104F']",CRMS0065-W01,'Adjusted Water Elevation to Datum (m),Date and Time UTC
96,CRMS0086-H01,louisiana,30.31457611,-89.63558546,"['203', '522']","['208R', '101R']","['104F', '051F']",CRMS0086-H01,'Adjusted Water Elevation to Datum (m),Date and Time UTC
97,CRMS0089-H01,louisiana,30.13158148,-90.58073574,"['244', '509']","['102R', '207R']","['051F', '104F']",CRMS0089-H01,'Adjusted Water Elevation to Datum (m),Date and Time UTC
98,CRMS0089-H02,louisiana,30.13161218,-90.58077242,"['244', '509']","['102R', '207R']","['051F', '104F']",CRMS0089-H02,'Adjusted Water Elevation to Datum (m),Date and Time UTC
99,CRMS0089-W01,louisiana,30.13157706,-90.58073761,"['244', '509']","['102R', '207R']","['051F', '104F']",CRMS0089-W01,'Adjusted Water Elevation to Datum (m),Date and Time UTC
100,CRMS0090-W01,louisiana,30.16091386,-90.56141667,"['244', '509']","['102L', '207R']","['051F', '104F']",CRMS0090-W01,'Adjusted Water Elevation to Datum (m),Date and Time UTC
101,CRMS0097-H01,louisiana,30.15433996,-90.65926962,"['244', '509']","['102R', '207R']","['051F', '104F']",CRMS0097-H01,'Adjusted Water Elevation to Datum (m),Date and Time UTC
102,CRMS0103-H01,louisiana,30.39613435,-90.25934111,"['203', '244', '509']","['208L', '101L', '208R']","['104F', '051F', '104F']",CRMS0103-H01,'Adjusted Water Elevation to Datum (m),Date and Time UTC
103,CRMS0108-H01,louisiana,29.95275922,-89.41191476,"['203', '522']","['207R', '102R']","['104F', '051F']",CRMS0108-H01,'Adjusted Water Elevation to Datum (m),Date and Time UTC
104,CRMS0114-H01,louisiana,29.75938323,-89.91574084,"['203', '244', '522']","['207L', '103L', '102R']","['104F', '052F', '051F']",CRMS0114-H01,'Adjusted Water Elevation to Datum (m),Date and Time UTC
105,CRMS0114-W01,louisiana,29.75893312,-89.91673185,"['203', '244', '522']","['207L', '103L', '102R']","['104F', '052F', '051F']",CRMS0114-W01,'Adjusted Water Elevation to Datum (m),Date and Time UTC
106,CRMS0115-H01,louisiana,29.78067165,-89.91881839,"['203', '244', '522']","['207L', '103L', '102R']","['104F', '052F', '051F']",CRMS0115-H01,'Adjusted Water Elevation to Datum (m),Date and Time UTC
107,CRMS0115-M01,louisiana,29.78101964,-89.91874981,"['203', '244', '522']","['207L', '102L', '102R']","['104F', '051F', '051F']",CRMS0115-M01,'Adjusted Water Elevation to Datum (m),Date and Time UTC
108,CRMS0115-W01,louisiana,29.78095726,-89.91684952,"['203', '244', '522']","['207L', '103L', '102R']","['104F', '052F', '051F']",CRMS0115-W01,'Adjusted Water Elevation to Datum (m),Date and Time UTC
109,CRMS0117-H01,louisiana,29.80966819,-89.91727761,"['203', '244', '522']","['207L', '102L', '102R']","['104F', '051F', '051F']",CRMS0117-H01,'Adjusted Water Elevation to Datum (m),Date and Time UTC
110,CRMS0117-W01,louisiana,29.80904014,-89.91780785,"['203', '244', '522']","['207L', '102L', '102R']","['104F', '051F', '051F']",CRMS0117-W01,'Adjusted Water Elevation to Datum (m),Date and Time UTC
111,CRMS0118-H01,louisiana,29.37845166,-89.54209301,"['203', '522']","['206R', '103R']","['103F', '052F']",CRMS0118-H01,'Adjusted Water Elevation to Datum (m),Date and Time UTC
112,CRMS0119-H01,louisiana,29.47611943,-89.63551539,"['203', '522']","['206R', '103R']","['103F', '052F']",CRMS0119-H01,'Adjusted Water Elevation to Datum (m),Date and Time UTC
113,CRMS0120-H01,louisiana,29.84451836,-89.85648919,"['203', '244', '522']","['207L', '102L', '102R']","['104F', '051F', '051F']",CRMS0120-H01,'Adjusted Water Elevation to Datum (m),Date and Time UTC
114,CRMS0120-W01,louisiana,29.84450046,-89.85650322,"['203', '244', '522']","['207L', '102L', '102R']","['104F', '051F', '051F']",CRMS0120-W01,'Adjusted Water Elevation to Datum (m),Date and Time UTC
115,CRMS0121-H01,louisiana,29.6931826,-89.82056545,"['203', '244', '522']","['206L', '103L', '102R']","['103F', '052F', '051F']",CRMS0121-H01,'Adjusted Water Elevation to Datum (m),Date and Time UTC
116,CRMS0125-H01,louisiana,29.76616518,-89.98094909,"['203', '244']","['207L', '103L']","['104F', '052F']",CRMS0125-H01,'Adjusted Water Elevation to Datum (m),Date and Time UTC
117,CRMS0128-H01,louisiana,29.83121397,-89.94819795,"['203', '244', '522']","['207L', '102L', '102R']","['104F', '051F', '051F']",CRMS0128-H01,'Adjusted Water Elevation to Datum (m),Date and Time UTC
118,CRMS0128-M01,louisiana,29.83159455,-89.94788641,"['203', '244', '522']","['207L', '102L', '102R']","['104F', '051F', '051F']",CRMS0128-M01,'Adjusted Water Elevation to Datum (m),Date and Time UTC
119,CRMS0128-M100,louisiana,29.83164057,-89.94792639,"['203', '244', '522']","['207L', '102L', '102R']","['104F', '051F', '051F']",CRMS0128-M100,'Adjusted Water Elevation to Datum (m),Date and Time UTC
120,CRMS0128-W01,louisiana,29.83159523,-89.94787658,"['203', '244', '522']","['207L', '102L', '102R']","['104F', '051F', '051F']",CRMS0128-W01,'Adjusted Water Elevation to Datum (m),Date and Time UTC
121,CRMS0129-H01,louisiana,29.46879331,-89.60264832,"['203', '522']","['206R', '103R']","['103F', '052F']",CRMS0129-H01,'Adjusted Water Elevation to Datum (m),Date and Time UTC
